Date,Inv No.,Bill No.,Bill Date,Party Name,ProjectNo,Item Name,Qty,Unit,Rate,CGST %,SGST %,IGST %,Net Amount,Total(QTY*Rate),Other taxable Charges(If Any),taxable Amt,CGST AMT,SGST AMT,IGST AMT,Total GST AMT,Final Discount,Round Off,Gross Amount
08-03-2024,AR/2324/1026          ,PE108/23-24              ,2024-03-08 00:00:00,Pioneer Engineers                                 ,M1040                                                                                               ,Cross Member Fabrication Drg TOPL-CD-1600-003     ,13.0,nos   ,5443.0,9,9,,605057.0,70759.0,,70759.0,6368.31,6368.31,,12736.62,,0.2,83495.62
08-03-2024,AR/2324/1026          ,PE108/23-24              ,08-03-2024,Pioneer Engineers                                 ,M1040                                                                                               ,Frame Assembly Drg TOPL-CD-1600-004A              ,13.0,nos   ,10167.0,9,9,,,132171.0,,132171.0,11895.39,11895.39,,23790.78,,0.2,155961.78
08-03-2024,AR/2324/1026          ,PE108/23-24              ,08-03-2024,Pioneer Engineers                                 ,M1040                                                                                               ,Rotating Platform Drg TOPL-CD-1600-001            ,13.0,nos   ,22080.0,9,9,,,287040.0,,287040.0,25833.6,25833.6,,51667.2,,0.2,338707.2
08-03-2024,AR/2324/1026          ,PE108/23-24              ,08-03-2024,Pioneer Engineers                                 ,M1040                                                                                               ,Towbar Drg TOPL-CD-1600-002A                      ,9.0,nos   ,2310.0,9,9,,,20790.0,2000,22790.0,2051.1,2051.1,,4102.2,,0.2,26892.2
08-03-2024,AR/2324/1027          ,23-24/4367               ,2024-04-08 00:00:00,Alloy Steel Corporation                           ,M1040                                                                                               ,MS Flat 50 x 8 mm Thk                             ,124.5,kgs   ,56.5,9,9,,12820.0,7034.25,,7034.25,633.08,633.08,,1266.16,,-0.1,8300.41
08-03-2024,AR/2324/1027          ,23-24/4367               ,08-04-2024,Alloy Steel Corporation                           ,M1040                                                                                               ,MS Flat 65 x 12 mm Thk                            ,66.5,kgs   ,56.5,9,9,,,3757.25,73,3830.25,344.72,344.72,,689.44,,-0.1,4519.69
2024-03-09 00:00:00,AR/2324/1028          ,c4203                    ,2024-02-29 00:00:00,Mahavir Hardware Store                            ,consumable                                                                                          ,"14""Cutoff Wheel                                   ",50.0,nos   ,110.17,9,9,,13629.0,5508.5,,5508.5,495.77,495.77,,991.54,,-0.49,6500.04
09-03-2024,AR/2324/1028          ,c4203                    ,29-02-2024,Mahavir Hardware Store                            ,consumable                                                                                          ,"cutoff Wheel 5""                                   ",100.0,nos   ,25.42,9,9,,,2542.0,,2542.0,228.78,228.78,,457.56,,-0.49,2999.56
09-03-2024,AR/2324/1028          ,c4203                    ,29-02-2024,Mahavir Hardware Store                            ,consumable                                                                                          ,"Flap Disc (Buffing Wheel) 4 "", 60 Grit            ",20.0,nos   ,33.9,9,9,,,678.0,,678.0,61.02,61.02,,122.04,,-0.49,800.04
09-03-2024,AR/2324/1028          ,c4203                    ,29-02-2024,Mahavir Hardware Store                            ,consumable                                                                                          ,Measure Tap 3 Mtr                                 ,5.0,PCS   ,59.32,9,9,,,296.6,,296.6,26.69,26.69,,53.38,,-0.49,349.98
